movie,diretor,year,duration,imdb,gender,votes
Valkyrie,Bryan Singer,2008,121,7.1,"
Drama, History, Thriller            ",211186
"Faça o Que eu Digo, Não Faça o Que eu Faço",David Wain,2008,99,6.9,"
Comedy            ",209761
Fringe,Anna Torv,2008,46,8.4,"
Drama, Mystery, Sci-Fi            ",204174
Rambo IV,Sylvester Stallone,2008,92,7.0,"
Action, Thriller, War            ",199332
Body of Lies,Ridley Scott,2008,128,7.1,"
Action, Drama, Thriller            ",196934
O Grande Mestre,Wilson Yip,2008,106,8.0,"
Action, Biography, Drama            ",193948
Let the Right One In,Tomas Alfredson,2008,114,7.9,"
Drama, Horror, Romance            ",193119
Get Smart,Peter Segal,2008,110,6.5,"
Action, Adventure, Comedy            ",187930
Mamma Mia!,Phyllida Lloyd,2008,108,6.4,"
Comedy, Musical, Romance            ",187884
Death Race,Paul W.S. Anderson,2008,105,6.4,"
Action, Sci-Fi, Thriller            ",185719
The Happening,M. Night Shyamalan,2008,91,5.0,"
Mystery, Sci-Fi, Thriller            ",184284
Madagascar: Escape 2 Africa,Eric Darnell,2008,89,6.7,"
Animation, Adventure, Comedy            ",178844
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,2008,150,6.5,"
Action, Adventure, Family            ",176075
Revolutionary Road,Sam Mendes,2008,119,7.3,"
Drama, Romance            ",175415
You Don't Mess with the Zohan,Dennis Dugan,2008,113,5.5,"
Comedy            ",175168
The Dark Knight,Christopher Nolan,2008,152,9.0,"
Action, Crime, Drama            ",2019662
Breaking Bad,Bryan Cranston,2008,49,9.5,"
Crime, Drama, Thriller            ",1158607
WALL·E,Andrew Stanton,2008,98,8.4,"
Animation, Adventure, Family            ",886792
Iron Man,Jon Favreau,2008,126,7.9,"
Action, Adventure, Sci-Fi            ",833147
Slumdog Millionaire,Danny Boyle,2008,120,8.0,"
Drama, Romance            ",736898
Gran Torino,Clint Eastwood,2008,116,8.1,"
Drama            ",660424
Taken,Pierre Morel,I) (,94,7.8,"
Action, Crime, Thriller            ",533479
The Curious Case of Benjamin Button,David Fincher,2008,166,7.8,"
Drama, Fantasy, Romance            ",531168
Hancock,Peter Berg,2008,92,6.4,"
Action, Drama, Fantasy            ",404832
Twilight,Catherine Hardwicke,I) (,122,5.2,"
Drama, Fantasy, Romance            ",388576
The Incredible Hulk,Louis Leterrier,2008,112,6.8,"
Action, Adventure, Sci-Fi            ",387510
The Hurt Locker,Kathryn Bigelow,2008,131,7.6,"
Drama, Thriller, War            ",386572
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008,122,6.2,"
Action, Adventure, Fantasy            ",386310
Quantum of Solace,Marc Forster,2008,106,6.6,"
Action, Adventure, Thriller            ",373131
Kung Fu Panda,Mark Osborne,2008,92,7.6,"
Animation, Action, Adventure            ",372346
In Bruges,Martin McDonagh,2008,107,7.9,"
Comedy, Crime, Drama            ",356690
Tropic Thunder,Ben Stiller,2008,107,7.0,"
Action, Adventure, Comedy            ",347278
Cloverfield,Matt Reeves,2008,85,7.0,"
Action, Horror, Sci-Fi            ",346968
Wanted,Timur Bekmambetov,2008,110,6.7,"
Action, Crime, Fantasy            ",335915
Yes Man,Peyton Reed,2008,104,6.8,"
Comedy, Romance            ",306820
Pineapple Express,David Gordon Green,2008,111,7.0,"
Action, Comedy, Crime            ",288940
Burn After Reading,Ethan Coen,2008,96,7.0,"
Comedy, Crime, Drama            ",283668
The Wrestler,Darren Aronofsky,2008,109,7.9,"
Drama, Sport            ",275178
Jumper,Doug Liman,2008,88,6.1,"
Action, Adventure, Sci-Fi            ",268940
Seven Pounds,Gabriele Muccino,2008,123,7.6,"
Drama, Romance            ",264884
Forgetting Sarah Marshall,Nicholas Stoller,2008,111,7.2,"
Comedy, Drama, Romance            ",244557
Step Brothers,Adam McKay,2008,98,6.9,"
Comedy            ",243051
Hellboy II: The Golden Army,Guillermo del Toro,2008,120,7.0,"
Action, Adventure, Fantasy            ",236058
Sons of Anarchy,Charlie Hunnam,2008,45,8.6,"
Crime, Drama, Thriller            ",226199
Vicky Cristina Barcelona,Woody Allen,2008,96,7.1,"
Drama, Romance            ",225119
Changeling,Clint Eastwood,2008,141,7.7,"
Biography, Crime, Drama            ",221035
RocknRolla,Guy Ritchie,2008,114,7.3,"
Action, Crime, Thriller            ",217430
True Blood,Anna Paquin,2008,55,7.9,"
Drama, Fantasy, Mystery            ",217355
The Reader,Stephen Daldry,2008,124,7.6,"
Drama, Romance            ",215413
21,Robert Luketic,2008,123,6.8,"
Crime, Drama, History            ",211307
Valkyrie,Bryan Singer,2008,121,7.1,"
Drama, History, Thriller            ",211186
"Faça o Que eu Digo, Não Faça o Que eu Faço",David Wain,2008,99,6.9,"
Comedy            ",209761
Fringe,Anna Torv,2008,46,8.4,"
Drama, Mystery, Sci-Fi            ",204174
Rambo IV,Sylvester Stallone,2008,92,7.0,"
Action, Thriller, War            ",199332
Body of Lies,Ridley Scott,2008,128,7.1,"
Action, Drama, Thriller            ",196934
O Grande Mestre,Wilson Yip,2008,106,8.0,"
Action, Biography, Drama            ",193948
Let the Right One In,Tomas Alfredson,2008,114,7.9,"
Drama, Horror, Romance            ",193119
Get Smart,Peter Segal,2008,110,6.5,"
Action, Adventure, Comedy            ",187930
Mamma Mia!,Phyllida Lloyd,2008,108,6.4,"
Comedy, Musical, Romance            ",187884
Death Race,Paul W.S. Anderson,2008,105,6.4,"
Action, Sci-Fi, Thriller            ",185719
The Happening,M. Night Shyamalan,2008,91,5.0,"
Mystery, Sci-Fi, Thriller            ",184284
Madagascar: Escape 2 Africa,Eric Darnell,2008,89,6.7,"
Animation, Adventure, Comedy            ",178844
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,2008,150,6.5,"
Action, Adventure, Family            ",176075
Revolutionary Road,Sam Mendes,2008,119,7.3,"
Drama, Romance            ",175415
You Don't Mess with the Zohan,Dennis Dugan,2008,113,5.5,"
Comedy            ",175168
The Dark Knight,Christopher Nolan,2008,152,9.0,"
Action, Crime, Drama            ",2019662
Breaking Bad,Bryan Cranston,2008,49,9.5,"
Crime, Drama, Thriller            ",1158607
WALL·E,Andrew Stanton,2008,98,8.4,"
Animation, Adventure, Family            ",886792
Iron Man,Jon Favreau,2008,126,7.9,"
Action, Adventure, Sci-Fi            ",833147
Slumdog Millionaire,Danny Boyle,2008,120,8.0,"
Drama, Romance            ",736898
Gran Torino,Clint Eastwood,2008,116,8.1,"
Drama            ",660424
Taken,Pierre Morel,I) (,94,7.8,"
Action, Crime, Thriller            ",533479
The Curious Case of Benjamin Button,David Fincher,2008,166,7.8,"
Drama, Fantasy, Romance            ",531168
Hancock,Peter Berg,2008,92,6.4,"
Action, Drama, Fantasy            ",404832
Twilight,Catherine Hardwicke,I) (,122,5.2,"
Drama, Fantasy, Romance            ",388576
The Incredible Hulk,Louis Leterrier,2008,112,6.8,"
Action, Adventure, Sci-Fi            ",387510
The Hurt Locker,Kathryn Bigelow,2008,131,7.6,"
Drama, Thriller, War            ",386572
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008,122,6.2,"
Action, Adventure, Fantasy            ",386310
Quantum of Solace,Marc Forster,2008,106,6.6,"
Action, Adventure, Thriller            ",373131
Kung Fu Panda,Mark Osborne,2008,92,7.6,"
Animation, Action, Adventure            ",372346
In Bruges,Martin McDonagh,2008,107,7.9,"
Comedy, Crime, Drama            ",356690
Tropic Thunder,Ben Stiller,2008,107,7.0,"
Action, Adventure, Comedy            ",347278
Cloverfield,Matt Reeves,2008,85,7.0,"
Action, Horror, Sci-Fi            ",346968
Wanted,Timur Bekmambetov,2008,110,6.7,"
Action, Crime, Fantasy            ",335915
Yes Man,Peyton Reed,2008,104,6.8,"
Comedy, Romance            ",306820
Pineapple Express,David Gordon Green,2008,111,7.0,"
Action, Comedy, Crime            ",288940
Burn After Reading,Ethan Coen,2008,96,7.0,"
Comedy, Crime, Drama            ",283668
The Wrestler,Darren Aronofsky,2008,109,7.9,"
Drama, Sport            ",275178
Jumper,Doug Liman,2008,88,6.1,"
Action, Adventure, Sci-Fi            ",268940
Seven Pounds,Gabriele Muccino,2008,123,7.6,"
Drama, Romance            ",264884
Forgetting Sarah Marshall,Nicholas Stoller,2008,111,7.2,"
Comedy, Drama, Romance            ",244557
Step Brothers,Adam McKay,2008,98,6.9,"
Comedy            ",243051
Hellboy II: The Golden Army,Guillermo del Toro,2008,120,7.0,"
Action, Adventure, Fantasy            ",236058
Sons of Anarchy,Charlie Hunnam,2008,45,8.6,"
Crime, Drama, Thriller            ",226199
Vicky Cristina Barcelona,Woody Allen,2008,96,7.1,"
Drama, Romance            ",225119
Changeling,Clint Eastwood,2008,141,7.7,"
Biography, Crime, Drama            ",221035
RocknRolla,Guy Ritchie,2008,114,7.3,"
Action, Crime, Thriller            ",217430
True Blood,Anna Paquin,2008,55,7.9,"
Drama, Fantasy, Mystery            ",217355
The Reader,Stephen Daldry,2008,124,7.6,"
Drama, Romance            ",215413
21,Robert Luketic,2008,123,6.8,"
Crime, Drama, History            ",211307
Valkyrie,Bryan Singer,2008,121,7.1,"
Drama, History, Thriller            ",211186
"Faça o Que eu Digo, Não Faça o Que eu Faço",David Wain,2008,99,6.9,"
Comedy            ",209761
Fringe,Anna Torv,2008,46,8.4,"
Drama, Mystery, Sci-Fi            ",204174
Rambo IV,Sylvester Stallone,2008,92,7.0,"
Action, Thriller, War            ",199332
Body of Lies,Ridley Scott,2008,128,7.1,"
Action, Drama, Thriller            ",196934
O Grande Mestre,Wilson Yip,2008,106,8.0,"
Action, Biography, Drama            ",193948
Let the Right One In,Tomas Alfredson,2008,114,7.9,"
Drama, Horror, Romance            ",193119
Get Smart,Peter Segal,2008,110,6.5,"
Action, Adventure, Comedy            ",187930
Mamma Mia!,Phyllida Lloyd,2008,108,6.4,"
Comedy, Musical, Romance            ",187884
Death Race,Paul W.S. Anderson,2008,105,6.4,"
Action, Sci-Fi, Thriller            ",185719
The Happening,M. Night Shyamalan,2008,91,5.0,"
Mystery, Sci-Fi, Thriller            ",184284
Madagascar: Escape 2 Africa,Eric Darnell,2008,89,6.7,"
Animation, Adventure, Comedy            ",178844
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,2008,150,6.5,"
Action, Adventure, Family            ",176075
Revolutionary Road,Sam Mendes,2008,119,7.3,"
Drama, Romance            ",175415
You Don't Mess with the Zohan,Dennis Dugan,2008,113,5.5,"
Comedy            ",175168
The Dark Knight,Christopher Nolan,2008,152,9.0,"
Action, Crime, Drama            ",2019662
Breaking Bad,Bryan Cranston,2008,49,9.5,"
Crime, Drama, Thriller            ",1158607
WALL·E,Andrew Stanton,2008,98,8.4,"
Animation, Adventure, Family            ",886792
Iron Man,Jon Favreau,2008,126,7.9,"
Action, Adventure, Sci-Fi            ",833147
Slumdog Millionaire,Danny Boyle,2008,120,8.0,"
Drama, Romance            ",736898
Gran Torino,Clint Eastwood,2008,116,8.1,"
Drama            ",660424
Taken,Pierre Morel,I) (,94,7.8,"
Action, Crime, Thriller            ",533479
The Curious Case of Benjamin Button,David Fincher,2008,166,7.8,"
Drama, Fantasy, Romance            ",531168
Hancock,Peter Berg,2008,92,6.4,"
Action, Drama, Fantasy            ",404832
Twilight,Catherine Hardwicke,I) (,122,5.2,"
Drama, Fantasy, Romance            ",388576
The Incredible Hulk,Louis Leterrier,2008,112,6.8,"
Action, Adventure, Sci-Fi            ",387510
The Hurt Locker,Kathryn Bigelow,2008,131,7.6,"
Drama, Thriller, War            ",386572
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008,122,6.2,"
Action, Adventure, Fantasy            ",386310
Quantum of Solace,Marc Forster,2008,106,6.6,"
Action, Adventure, Thriller            ",373131
Kung Fu Panda,Mark Osborne,2008,92,7.6,"
Animation, Action, Adventure            ",372346
In Bruges,Martin McDonagh,2008,107,7.9,"
Comedy, Crime, Drama            ",356690
Tropic Thunder,Ben Stiller,2008,107,7.0,"
Action, Adventure, Comedy            ",347278
Cloverfield,Matt Reeves,2008,85,7.0,"
Action, Horror, Sci-Fi            ",346968
Wanted,Timur Bekmambetov,2008,110,6.7,"
Action, Crime, Fantasy            ",335915
Yes Man,Peyton Reed,2008,104,6.8,"
Comedy, Romance            ",306820
Pineapple Express,David Gordon Green,2008,111,7.0,"
Action, Comedy, Crime            ",288940
Burn After Reading,Ethan Coen,2008,96,7.0,"
Comedy, Crime, Drama            ",283668
The Wrestler,Darren Aronofsky,2008,109,7.9,"
Drama, Sport            ",275178
Jumper,Doug Liman,2008,88,6.1,"
Action, Adventure, Sci-Fi            ",268940
Seven Pounds,Gabriele Muccino,2008,123,7.6,"
Drama, Romance            ",264884
Forgetting Sarah Marshall,Nicholas Stoller,2008,111,7.2,"
Comedy, Drama, Romance            ",244557
Step Brothers,Adam McKay,2008,98,6.9,"
Comedy            ",243051
Hellboy II: The Golden Army,Guillermo del Toro,2008,120,7.0,"
Action, Adventure, Fantasy            ",236058
Sons of Anarchy,Charlie Hunnam,2008,45,8.6,"
Crime, Drama, Thriller            ",226199
Vicky Cristina Barcelona,Woody Allen,2008,96,7.1,"
Drama, Romance            ",225119
Changeling,Clint Eastwood,2008,141,7.7,"
Biography, Crime, Drama            ",221035
RocknRolla,Guy Ritchie,2008,114,7.3,"
Action, Crime, Thriller            ",217430
True Blood,Anna Paquin,2008,55,7.9,"
Drama, Fantasy, Mystery            ",217355
The Reader,Stephen Daldry,2008,124,7.6,"
Drama, Romance            ",215413
21,Robert Luketic,2008,123,6.8,"
Crime, Drama, History            ",211307
Valkyrie,Bryan Singer,2008,121,7.1,"
Drama, History, Thriller            ",211186
"Faça o Que eu Digo, Não Faça o Que eu Faço",David Wain,2008,99,6.9,"
Comedy            ",209761
Fringe,Anna Torv,2008,46,8.4,"
Drama, Mystery, Sci-Fi            ",204174
Rambo IV,Sylvester Stallone,2008,92,7.0,"
Action, Thriller, War            ",199332
Body of Lies,Ridley Scott,2008,128,7.1,"
Action, Drama, Thriller            ",196934
O Grande Mestre,Wilson Yip,2008,106,8.0,"
Action, Biography, Drama            ",193948
Let the Right One In,Tomas Alfredson,2008,114,7.9,"
Drama, Horror, Romance            ",193119
Get Smart,Peter Segal,2008,110,6.5,"
Action, Adventure, Comedy            ",187930
Mamma Mia!,Phyllida Lloyd,2008,108,6.4,"
Comedy, Musical, Romance            ",187884
Death Race,Paul W.S. Anderson,2008,105,6.4,"
Action, Sci-Fi, Thriller            ",185719
The Happening,M. Night Shyamalan,2008,91,5.0,"
Mystery, Sci-Fi, Thriller            ",184284
Madagascar: Escape 2 Africa,Eric Darnell,2008,89,6.7,"
Animation, Adventure, Comedy            ",178844
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,2008,150,6.5,"
Action, Adventure, Family            ",176075
Revolutionary Road,Sam Mendes,2008,119,7.3,"
Drama, Romance            ",175415
You Don't Mess with the Zohan,Dennis Dugan,2008,113,5.5,"
Comedy            ",175168
The Dark Knight,Christopher Nolan,2008,152,9.0,"
Action, Crime, Drama            ",2019662
Breaking Bad,Bryan Cranston,2008,49,9.5,"
Crime, Drama, Thriller            ",1158607
WALL·E,Andrew Stanton,2008,98,8.4,"
Animation, Adventure, Family            ",886792
Iron Man,Jon Favreau,2008,126,7.9,"
Action, Adventure, Sci-Fi            ",833147
Slumdog Millionaire,Danny Boyle,2008,120,8.0,"
Drama, Romance            ",736898
Gran Torino,Clint Eastwood,2008,116,8.1,"
Drama            ",660424
Taken,Pierre Morel,I) (,94,7.8,"
Action, Crime, Thriller            ",533479
The Curious Case of Benjamin Button,David Fincher,2008,166,7.8,"
Drama, Fantasy, Romance            ",531168
Hancock,Peter Berg,2008,92,6.4,"
Action, Drama, Fantasy            ",404832
Twilight,Catherine Hardwicke,I) (,122,5.2,"
Drama, Fantasy, Romance            ",388576
The Incredible Hulk,Louis Leterrier,2008,112,6.8,"
Action, Adventure, Sci-Fi            ",387510
The Hurt Locker,Kathryn Bigelow,2008,131,7.6,"
Drama, Thriller, War            ",386572
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008,122,6.2,"
Action, Adventure, Fantasy            ",386310
Quantum of Solace,Marc Forster,2008,106,6.6,"
Action, Adventure, Thriller            ",373131
Kung Fu Panda,Mark Osborne,2008,92,7.6,"
Animation, Action, Adventure            ",372346
In Bruges,Martin McDonagh,2008,107,7.9,"
Comedy, Crime, Drama            ",356690
Tropic Thunder,Ben Stiller,2008,107,7.0,"
Action, Adventure, Comedy            ",347278
Cloverfield,Matt Reeves,2008,85,7.0,"
Action, Horror, Sci-Fi            ",346968
Wanted,Timur Bekmambetov,2008,110,6.7,"
Action, Crime, Fantasy            ",335915
Yes Man,Peyton Reed,2008,104,6.8,"
Comedy, Romance            ",306820
Pineapple Express,David Gordon Green,2008,111,7.0,"
Action, Comedy, Crime            ",288940
Burn After Reading,Ethan Coen,2008,96,7.0,"
Comedy, Crime, Drama            ",283668
The Wrestler,Darren Aronofsky,2008,109,7.9,"
Drama, Sport            ",275178
Jumper,Doug Liman,2008,88,6.1,"
Action, Adventure, Sci-Fi            ",268940
Seven Pounds,Gabriele Muccino,2008,123,7.6,"
Drama, Romance            ",264884
Forgetting Sarah Marshall,Nicholas Stoller,2008,111,7.2,"
Comedy, Drama, Romance            ",244557
Step Brothers,Adam McKay,2008,98,6.9,"
Comedy            ",243051
Hellboy II: The Golden Army,Guillermo del Toro,2008,120,7.0,"
Action, Adventure, Fantasy            ",236058
Sons of Anarchy,Charlie Hunnam,2008,45,8.6,"
Crime, Drama, Thriller            ",226199
Vicky Cristina Barcelona,Woody Allen,2008,96,7.1,"
Drama, Romance            ",225119
Changeling,Clint Eastwood,2008,141,7.7,"
Biography, Crime, Drama            ",221035
RocknRolla,Guy Ritchie,2008,114,7.3,"
Action, Crime, Thriller            ",217430
True Blood,Anna Paquin,2008,55,7.9,"
Drama, Fantasy, Mystery            ",217355
The Reader,Stephen Daldry,2008,124,7.6,"
Drama, Romance            ",215413
21,Robert Luketic,2008,123,6.8,"
Crime, Drama, History            ",211307
Valkyrie,Bryan Singer,2008,121,7.1,"
Drama, History, Thriller            ",211186
"Faça o Que eu Digo, Não Faça o Que eu Faço",David Wain,2008,99,6.9,"
Comedy            ",209761
Fringe,Anna Torv,2008,46,8.4,"
Drama, Mystery, Sci-Fi            ",204174
Rambo IV,Sylvester Stallone,2008,92,7.0,"
Action, Thriller, War            ",199332
Body of Lies,Ridley Scott,2008,128,7.1,"
Action, Drama, Thriller            ",196934
O Grande Mestre,Wilson Yip,2008,106,8.0,"
Action, Biography, Drama            ",193948
Let the Right One In,Tomas Alfredson,2008,114,7.9,"
Drama, Horror, Romance            ",193119
Get Smart,Peter Segal,2008,110,6.5,"
Action, Adventure, Comedy            ",187930
Mamma Mia!,Phyllida Lloyd,2008,108,6.4,"
Comedy, Musical, Romance            ",187884
Death Race,Paul W.S. Anderson,2008,105,6.4,"
Action, Sci-Fi, Thriller            ",185719
The Happening,M. Night Shyamalan,2008,91,5.0,"
Mystery, Sci-Fi, Thriller            ",184284
Madagascar: Escape 2 Africa,Eric Darnell,2008,89,6.7,"
Animation, Adventure, Comedy            ",178844
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,2008,150,6.5,"
Action, Adventure, Family            ",176075
Revolutionary Road,Sam Mendes,2008,119,7.3,"
Drama, Romance            ",175415
You Don't Mess with the Zohan,Dennis Dugan,2008,113,5.5,"
Comedy            ",175168
Inglourious Basterds,Quentin Tarantino,2009,153,8.3,"
Adventure, Drama, War            ",1095060
Avatar,James Cameron,2009,162,7.8,"
Action, Adventure, Fantasy            ",1025353
Up,Pete Docter,2009,96,8.3,"
Animation, Adventure, Comedy            ",826727
The Hangover,Todd Phillips,2009,100,7.7,"
Comedy            ",659659
Distrito 9,Neill Blomkamp,2009,112,7.9,"
Action, Sci-Fi, Thriller            ",597183
Star Trek,J.J. Abrams,2009,127,8.0,"
Action, Adventure, Sci-Fi            ",552430
Sherlock Holmes,Guy Ritchie,2009,128,7.6,"
Action, Adventure, Crime            ",541945
Zombieland,Ruben Fleischer,2009,88,7.6,"
Adventure, Comedy, Horror            ",450194
Watchmen,Zack Snyder,2009,162,7.6,"
Action, Drama, Mystery            ",448197
500 Days of Summer,Marc Webb,2009,95,7.7,"
Comedy, Drama, Romance            ",434882
X-Men Origins: Wolverine,Gavin Hood,2009,107,6.6,"
Action, Adventure, Sci-Fi            ",428346
Harry Potter and the Half-Blood Prince,David Yates,2009,153,7.6,"
Adventure, Family, Fantasy            ",408478
Transformers: Revenge of the Fallen,Michael Bay,2009,150,6.0,"
Action, Adventure, Sci-Fi            ",360891
2012,Roland Emmerich,I) (,158,5.8,"
Action, Adventure, Sci-Fi            ",323370
Terminator Salvation,McG,2009,115,6.6,"
Action, Adventure, Sci-Fi            ",316661
Moon,Duncan Jones,2009,97,7.9,"
Drama, Mystery, Sci-Fi            ",307956
